file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,gibberish,word_weird,vowel_ratio,quality_score,categ,caps_header
CTX199603106,1,1,3444/74,,,,0.0,0.0,0,7,0.0,0,0,0,0,0,0.0,0.0,0.0,Non-text,False
CTX199603106,1,2,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,1,3,NÁLEZOVÁ ZPRÁVA O ARCHEOLOGICKÉM VÝZKUMU V DOMĚ ČP. 193/1 NA,,,eng,1.0,256.09,10,60,0.0,0,0,0,0,0,0.0,0.4222,0.7931,Clear,True
CTX199603106,1,4,KŘIŽOVNICKÉN NÁMĚSTÍ NA STARÉM MĚSTĚ PRAŽSKÉM,,,eng,1.0,177.74,6,45,0.0,0,0,0,0,0,0.0,0.35,0.8879,Clear,True
CTX199603106,1,5,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,1,6,Číslo vý=kumu 21/93,,,eng,0.75,1281.94,3,19,0.0526,1,0,0,0,0,0.1333,0.4545,0.62,Noisy,False
CTX199603106,1,7,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,1,8,Obsah :,,,eng,0.75,4819.06,2,7,0.1429,0,0,0,0,0,0.0,0.4,0.5357,Noisy,False
CTX199603106,1,9,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,1,10,1. Dějiny objektu 1,,,eng,1.0,1029.8,4,19,0.0,0,0,0,0,0,0.25,0.4615,0.6673,Noisy,False
CTX199603106,1,11,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,1,12,"2, Popis nálezu i - 3",,,eng,0.979,1898.42,6,21,0.0,0,0,0,0,0,0.25,0.5,0.576,Noisy,False
CTX199603106,1,13,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,1,14,3. Vyhodnocení nálezu 3 - 4,,,eng,0.9968,958.9,6,27,0.0,0,0,0,0,0,0.3333,0.4706,0.6072,Noisy,False
CTX199603106,1,15,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,1,16,4. Literatura 5,,,eng,0.75,568.64,3,15,0.0,0,0,0,0,0,0.3333,0.5,0.6123,Noisy,False
CTX199603106,1,17,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,1,18,5. Popis fotografií a plánků 5,,,eng,1.0,968.75,6,30,0.0,0,0,0,0,0,0.1667,0.4545,0.7013,Clear,False
CTX199603106,1,19,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,1,20,6. Fotogra f 1 e 1 - 3,,,eng,0.75,291.71,8,22,0.0,0,0,0,0,0,0.4375,0.4444,0.5421,Trash,False
CTX199603106,1,21,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,1,22,"7, Plánky 1 - 2",,,eng,0.75,1149.11,5,15,0.0,0,0,0,0,0,0.4,0.3333,0.5224,Trash,False
CTX199603106,1,23,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,1,24,V Prase 15. 1. 1995,,,eng,0.75,1739.51,5,19,0.0,0,0,0,0,0,0.1,0.3333,0.5684,Noisy,False
CTX199603106,1,25,PhDr. Zdeněk Dragoun,,,eng,0.9986,190.52,3,20,0.0,0,1,0,0,1,0.0333,0.2941,0.8957,Clear,False
CTX199603106,2,1,Dějiny objektu,,,eng,1.0,1363.56,2,14,0.0,0,0,0,0,0,0.0,0.4615,0.8595,Clear,False
CTX199603106,2,2,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,2,3,Jako nejstarší dm se v této bezprostřední blízkosti Karlova,,,eng,1.0,565.21,9,59,0.0,0,0,0,0,0,0.0,0.3529,0.8364,Clear,False
CTX199603106,2,4,mostu uvádí domek mosteckého celného v letech 1406 - 1430.,,,eng,0.9999,1038.16,10,58,0.0,0,0,0,0,0,0.05,0.4103,0.7796,Clear,False
CTX199603106,2,5,Spolehlivé písemné doložená existence zástavby pochází až z roku,,,eng,0.9979,512.48,9,64,0.0,0,0,0,0,0,0.0,0.4286,0.8768,Clear,False
CTX199603106,2,6,"""1640, kdy je zde jednoznačné lokalizována ""nákladné vystavěný dům""",,,eng,1.0,171.88,9,67,0.0448,0,0,0,0,0,0.0,0.4118,0.8815,Clear,False
CTX199603106,2,7,celnice. Tento objekt je zřetelně zachycen na Sadelerové prospektu,,,eng,0.9997,729.17,9,66,0.0,0,0,0,0,0,0.0,0.4035,0.8671,Clear,False
CTX199603106,2,8,"z roku 1606. V dalžím vývoj i byl o na budově dostaveno 3. patro,",,,eng,1.0,373.78,14,65,0.0,0,0,0,0,0,0.0357,0.4318,0.7837,Clear,False
CTX199603106,2,9,které zaznamenávají mladší ikonografické prameny včetně Langveilova,,,eng,1.0,535.2,7,67,0.0,0,0,0,0,0,0.0,0.4262,0.9456,Clear,False
CTX199603106,2,10,modelu. Dnešní vzhled budovy je výsledkem klasicistní přestavby,,,eng,1.0,667.62,8,63,0.0,0,0,0,0,0,0.0,0.3636,0.8956,Clear,False
CTX199603106,2,11,"z roku 1841 (Vilímková - Ebel 1988, s. 1 - 4).",,,eng,0.7857,366.05,11,46,0.0,0,0,0,0,0,0.1818,0.4211,0.6464,Noisy,False
CTX199603106,2,12,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
CTX199603106,2,13,Popis nálezu,,,eng,0.9915,3206.8,2,12,0.0,0,0,0,0,0,0.0,0.4545,0.7837,Clear,False
CTX199603106,2,14,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,Empty,False
