file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,fused_words,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX197901442,1,1,OBEC,,,ces,0.9997,752.0,1,4,0.0,0,0,0,0,0,0,0.0,0.5,0.75,0.6999,Noisy,True
CTX197901442,1,2,OKRES,,,ces,0.75,850.0,1,5,0.0,0,0,0,0,0,0,0.0,0.4,0.6,0.6999,Noisy,True
CTX197901442,1,3,‘ *4242& -,,,,0.0,0.0,0,10,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197901442,1,4,Vysoký jez .,,,ces,0.9993,127.0,3,12,0.0,0,0,0,0,0,0,0.0,0.4444,0.6667,0.7699,Clear,False
CTX197901442,1,5,Mad DrAMou,,,ces,0.75,850.0,2,10,0.0,0,1,0,0,0,0,0.05,0.4444,0.6667,0.6999,Noisy,False
CTX197901442,1,6,ČÍSLO PARCELY,,,,0.0,0.0,0,13,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197901442,1,7,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197901442,1,8,Rychnov n.Kn.,,,ces,0.894,472.0,2,13,0.0,0,0,0,0,0,1,0.05,0.2,0.6,0.6999,Noisy,False
CTX197901442,1,9,Přílohy,,,ces,1.0,46.75,1,7,0.0,0,0,0,0,0,0,0.0,0.4286,0.4286,0.6999,Noisy,False
CTX197901442,1,10,NÁZEV TRATI,,,,0.0,0.0,0,11,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197901442,1,11,Homole - kopec SZ od Vysokí-,,,ces,0.75,3168.0,6,28,0.0,0,0,0,0,0,0,0.0,0.4286,0.7143,0.5637,Noisy,False
CTX197901442,1,12,Újezda pokryt lesem.,,,ces,0.7876,588.0,3,20,0.0,0,0,0,0,0,0,0.0,0.4118,0.5882,0.7924,Clear,False
CTX197901442,1,13,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197901442,1,14,ho,,,,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197901442,1,15,Kultura Z.,,,ces,0.7928,472.0,2,10,0.0,0,0,0,0,0,0,0.0,0.375,0.375,0.6456,Noisy,False
CTX197901442,1,16,ČÍSLO MAPY,,,,0.0,0.0,0,10,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197901442,1,17,Druh nálezu,,,ces,0.75,179.0,2,11,0.0,0,0,0,0,0,0,0.0,0.4,0.6,0.6999,Noisy,False
CTX197901442,1,18,keramcké střepy,,,ces,1.0,850.0,2,15,0.0,0,0,0,0,0,0,0.0,0.3571,0.4286,0.6999,Noisy,False
CTX197901442,1,19,LITERATURA,,,,0.0,0.0,0,10,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197901442,1,20,Uložení,,,ces,0.9716,850.0,1,7,0.0,0,0,0,0,0,0,0.0,0.5714,0.5714,0.6999,Noisy,False
CTX197901442,1,21,"Rukopisné poznámky str. 56 , autora .",,,ces,0.8578,112.0,7,37,0.0,0,0,0,0,0,0,0.0,0.4231,0.5385,0.7698,Clear,False
CTX197901442,1,22,Čis. inv.,,,ces,0.9216,850.0,2,9,0.0,0,0,0,0,0,0,0.0,0.3333,0.5,0.6946,Noisy,False
CTX197901442,1,23,", ■",,,,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX197901442,1,24,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197901442,1,25,Ľne 22. 11.1974 . 7,,,ces,0.75,27.0,5,19,0.0,0,0,1,0,0,0,0.12,0.3333,0.6667,0.618,Noisy,False
CTX197901442,1,26,"P.Jirušek starousedlíkvobci Vysoký Újezd podal informaci , že před",,,ces,1.0,286.0,9,66,0.0,0,0,0,0,1,0,0.0,0.4107,0.5179,0.6999,Noisy,False
CTX197901442,1,27,mnoha lety si rolnícivmístě Homole kopali krechty na uskladnení,,,ces,0.9975,1208.0,9,63,0.0,0,0,0,0,0,0,0.0,0.4182,0.4727,0.6963,Noisy,False
CTX197901442,1,28,"bramborařepy . Při kopání, nalezeno mnoho různých keramických střepu .",,,ces,1.0,99.0,10,70,0.0,0,0,0,0,0,0,0.0,0.3966,0.5,0.8816,Clear,False
CTX197901442,1,29,Keramický materiál nebyl zachován .,,,ces,1.0,66.0,5,35,0.0,0,0,0,0,0,0,0.0,0.4333,0.4,0.8561,Clear,False
CTX197901442,1,30,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX197901442,1,31,Nčv* rodte map) 4:2Fee,,,ces,0.75,10432.0,4,22,0.0909,1,0,0,0,0,1,0.1,0.3571,0.6429,0.5247,Noisy,False
CTX197901442,1,32,<• 55 1501 M,,,ces,0.75,158.0,4,12,0.1667,1,0,0,0,0,0,0.1,0.0,1.0,0.3999,Trash,True
