file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,fused_words,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX192100040,2,1,STÁTNÍ ARCHAEOLOGICKÝ ÚSTAV ‘o/2/,,,ces,0.9991,562.49,4,33,0.0303,1,0,0,0,0,0,0.1,0.4615,0.3077,0.8488,Clear,False
CTX192100040,2,2,"Došlo dne 6/,1921 Lodenice, dne 7.února 1921.",,,ces,0.7892,1172.3,7,45,0.0,0,0,0,0,0,0,0.0,0.4583,0.6667,0.4341,Trash,False
CTX192100040,2,3,Počet příloh I,,,ces,1.0,489.48,3,14,0.0,0,0,0,0,0,0,0.0,0.4167,0.4167,0.8629,Clear,False
CTX192100040,2,4,P. T. Pan,,,ces,0.75,288.66,3,9,0.0,0,0,0,0,0,0,0.0,0.2,0.6,0.7521,Clear,False
CTX192100040,2,5,"Jos. A. Jíra ,",,,ces,0.9943,387.92,4,14,0.0,0,0,0,0,0,0,0.0,0.5,0.25,0.8041,Clear,False
CTX192100040,2,6,konservátor pro Čechy v P r a z e 1,,,ces,0.9899,845.03,10,35,0.0,0,0,0,0,0,0,0.11,0.36,0.56,0.5595,Noisy,False
CTX192100040,2,7,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX192100040,2,8,K ct.dopisu Vašemu ze dne 31.XII.m.r.dovoluji si,,,ces,0.9953,533.9,7,48,0.0,0,0,0,0,1,0,0.0,0.4286,0.6286,0.6058,Noisy,False
CTX192100040,2,9,odpověděti trochu obšírněji:,,,ces,1.0,207.45,3,28,0.0357,0,0,0,0,0,0,0.0,0.44,0.44,0.9351,Clear,False
CTX192100040,2,10,"Směrem sev.záp.od městyse Loděnice,1 hod.cesty - vzdušnou",,,ces,1.0,428.25,7,57,0.0,0,0,0,0,0,0,0.0,0.4,0.7111,0.9182,Clear,False
CTX192100040,2,11,čarou as 4 km - za obcí Nenačovicemi při pravém břehu lodenického potoka,,,ces,0.9999,725.4,13,72,0.0,0,0,0,0,0,0,0.0192,0.4483,0.5,0.863,Clear,False
CTX192100040,2,12,"zv."" Kačák "" prostírají se v údolí lukaapole .Louka čí s. katastr. 222 jest",,,ces,0.9999,512.9,14,75,0.0267,0,0,0,0,0,0,0.0,0.4151,0.3774,0.8284,Clear,False
CTX192100040,2,13,majetkem velkostatku v Chrustenicích - polesní sousedící čís.kat.218 jest,,,ces,1.0,1567.63,9,73,0.0,0,0,0,0,0,1,0.0,0.3729,0.4746,0.8318,Clear,False
CTX192100040,2,14,v majetku rolníka p.Rabocha z Nenačovic. _,,,ces,0.8836,2071.21,7,42,0.0238,1,0,0,0,0,0,0.0143,0.3939,0.4545,0.7543,Clear,False
CTX192100040,2,15,Laskavostí tohoto pána bylo mi dovoleno již roku 1919 na,,,ces,1.0,932.17,10,56,0.0,0,0,0,0,0,0,0.0,0.4651,0.5349,0.8694,Clear,False
CTX192100040,2,16,e •,,,,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX192100040,2,17,"Poli $om zv. "" Holonohy "" kopati.Název tento upoutal moji pozornost nejen",,,ces,0.9972,1236.01,12,73,0.0411,1,0,0,0,0,0,0.0417,0.4386,0.6491,0.6213,Noisy,False
